,course,professor,semester,section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
0,CMSC100,Charles Kassir,201408,0101,19,9,1,2,0,3,0,0,1,0,0,0,1,1,0
1,CMSC100,Amy Vaillancourt,201808,0101,14,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,CMSC100,Amy Vaillancourt,201708,0101,9,4,2,0,0,0,0,0,0,0,0,0,0,2,0
3,CMSC100,Amy Vaillancourt,201608,0101,17,6,2,3,2,1,2,0,1,1,1,0,2,0,0
4,CMSC100,Amy Vaillancourt,201508,0101,20,5,5,5,3,1,3,1,0,0,0,0,3,1,0
5,CMSC100,Alyssa Neuner,201808,0201,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0
6,CMSC100,Alyssa Neuner,201708,0201,14,0,0,2,0,0,0,0,0,1,0,0,0,1,0
7,CMSC100,Andrew Nolan,201208,0101,15,4,1,1,1,0,0,1,0,0,0,0,0,0,0
8,CMSC100,Savannah Renehan,201308,0101,7,11,2,2,6,3,1,3,2,0,1,0,1,7,0
9,CMSC106,Nelson Padua-Perez,201608,0101,4,2,3,4,7,4,4,4,2,0,1,0,7,6,1
10,CMSC106,Nelson Padua-Perez,201508,0101,2,4,5,4,3,4,2,3,2,0,1,0,7,4,0
11,CMSC106,Nelson Padua-Perez,201308,0101,3,1,1,4,3,5,1,2,1,1,0,1,2,1,1
12,CMSC106,Nelson Padua-Perez,201308,0102,4,1,0,2,2,3,0,1,2,1,2,0,6,5,0
13,CMSC106,Nelson Padua-Perez,201208,0101,0,2,4,2,1,4,1,2,2,0,0,1,2,5,0
14,CMSC106,Nelson Padua-Perez,201208,0102,2,1,4,5,3,2,1,1,0,0,1,0,3,7,0
15,CMSC106,Ilchul Yoon,202008,0101,2,1,3,4,5,4,3,4,3,0,0,0,1,12,0
16,CMSC106,Ilchul Yoon,201808,0101,3,4,3,5,3,5,3,2,3,1,0,0,2,6,0
17,CMSC106,Ilchul Yoon,201708,0101,1,8,5,1,4,2,5,0,0,1,0,0,7,7,0
18,CMSC106,Anthony Banes,201908,0101,9,6,2,6,2,6,1,3,0,1,1,1,0,5,0
19,CMSC122,Fawzi Emad,201801,0301,7,10,6,7,10,9,1,6,1,0,3,2,5,18,0
20,CMSC122,Fawzi Emad,201801,0201,3,9,5,4,11,6,6,8,5,0,3,1,10,16,0
21,CMSC122,Fawzi Emad,201801,0101,6,8,8,5,10,4,3,9,3,1,6,3,6,14,0
22,CMSC122,Fawzi Emad,201708,0301,7,9,7,5,11,7,5,7,6,2,2,1,8,7,1
23,CMSC122,Fawzi Emad,201708,0201,4,13,11,9,13,2,3,4,6,4,1,0,5,11,1
24,CMSC122,Fawzi Emad,201708,0101,5,15,7,8,7,7,7,7,5,2,1,3,4,7,2
25,CMSC122,Fawzi Emad,201508,0301,6,18,7,8,14,3,3,6,0,2,1,2,2,5,0
26,CMSC122,Fawzi Emad,201508,0201,3,12,8,6,11,4,7,11,0,1,4,1,6,1,1
27,CMSC122,Fawzi Emad,201508,0101,5,16,6,6,12,5,1,3,3,1,5,3,3,8,0
28,CMSC122,Fawzi Emad,201408,0301,4,14,4,1,16,3,2,10,3,0,4,1,7,8,0
29,CMSC122,Fawzi Emad,201408,0201,3,19,6,3,13,7,0,9,2,0,5,1,4,5,0
30,CMSC122,Fawzi Emad,201408,0101,4,11,6,4,17,4,1,10,1,0,9,2,3,4,0
31,CMSC122,Fawzi Emad,201401,0301,1,12,6,4,15,6,1,9,8,0,6,0,1,9,0
